# N2O/HTPB equilibrium combustion properties for the chamber.
# Generated by scripts/generate_thermochemistry_table.py -- do not edit by hand.
#
# Solver     : NASA CEA via rocketcea (Gordon & McBride, NASA RP-1311).
# Oxidizer   : oxid NitrousOxide  N 2.0 O 1.0  wt%=100.00 h,cal= 19467.0 t(k)=298.15
# Fuel       : fuel R-45(HTPB FROM_RPL_DATA) C 7.3165 H 10.3360 O 0.1063    wt%=100.00 h,cal= 1200.0 t(k)=298.15 rho=0.9220
# Assumption : equilibrium composition; chamber (stagnation) properties.
# O/F        : oxidizer mass flow / fuel mass flow.
# c*         : IDEAL equilibrium characteristic velocity. A combustion
#              efficiency is applied downstream and is NOT included here.
# gamma      : CEA chamber GAMMAs (isentropic exponent).
# molar mass : effective_molar_mass is CEA's M,(1/n), the total mixture mass
#              per mole of gas -- the quantity that reproduces CEA's own sound
#              speed when a condensed phase is present. gas_molar_mass is the
#              gas-phase MW, kept only as a diagnostic; their ratio flags soot.
# Units      : O/F [-], pressure [Pa], c* [m/s], gamma [-], T [K],
#              molar mass [kg/mol], R [J/(kg K)].
# NOT experimentally validated. Generic reduced-order educational study.
of,chamber_pressure_pa,ideal_cstar_m_s,gamma,chamber_temperature_k,effective_molar_mass_kg_mol,gas_molar_mass_kg_mol,specific_gas_constant_j_kg_k
1.2,3750000.0,1228.6220324303215,1.2162919311951317,1608.4542225475172,0.020866455621974516,0.014734820789804476,398.4607050008061
1.2,4000000.0,1229.0486465611436,1.2157705290635028,1610.443560933308,0.020885214298315146,0.01474883154552151,398.10281566853473
1.2,4250000.0,1229.4574886090782,1.2152696772989364,1612.3819381161763,0.02090354174211929,0.014762532344802692,397.75377400504783
1.2,4500000.0,1229.8499887309526,1.21478781350083,1614.2721332577398,0.020921460541363908,0.014775938954085941,397.4131061051613
1.225,1000000.0,1227.096270045989,1.2251246418949429,1596.8646001092327,0.02062877234551994,0.014659200986619847,403.0517414578816
1.225,1250000.0,1227.8409785325666,1.224257705816027,1599.5047585884906,0.020652749253185512,0.014677164097764674,402.5838166179045
1.225,1500000.0,1228.5340221284164,1.2234426575502246,1602.048713978012,0.020675942397191362,0.014694565991861853,402.13222005926286
1.225,1750000.0,1229.1820397945876,1.222674267255821,1604.5042647451837,0.02069841136134952,0.01471144824923167,401.6956892414329
1.225,2000000.0,1229.7905656178457,1.2219478339863237,1606.878152373776,0.020720208824226285,0.01472784783986851,401.2731091917685
1.225,2250000.0,1230.364034994052,1.2212594061192363,1609.176285827343,0.02074138018174384,0.014743795969552059,400.86351752610125
1.225,2500000.0,1230.9062303357305,1.220605333876202,1611.4038944349759,0.02076196708957773,0.014759322017027421,400.46603398065133
1.225,2750000.0,1231.4203658137856,1.2199823302033292,1613.565626500799,0.020782007105531172,0.014774452221574991,400.0798660003869
1.225,3000000.0,1231.9091427207466,1.2193877011743741,1615.6657100529599,0.020801533672785154,0.014789210406587467,399.70430780677924
1.225,3250000.0,1232.374875055754,1.2188192781506564,1617.7078976258417,0.0208205755053044,0.014803616486824062,399.3387510293242
1.225,3500000.0,1232.8195524142784,1.218274726731657,1619.6956119431313,0.020839160961180346,0.014817690577411552,398.98259980276396
1.225,3750000.0,1233.2450647899389,1.217752143585716,1621.631963733111,0.020857315067608594,0.014831450369641416,398.63532727241386
1.225,4000000.0,1233.6529282703725,1.2172498353082015,1623.5197911056512,0.020875060714876315,0.01484491207156358,398.29645199905053
1.225,4250000.0,1234.0444588536798,1.216766289804634,1625.3616920432657,0.020892418904960415,0.014858090578559397,397.96553265672486
1.225,4500000.0,1234.4209380908194,1.2163001523324442,1627.1600512855498,0.020909408957246547,0.014870999614220544,397.6421636307643
1.25,1000000.0,1232.0535417805654,1.2260658912929503,1611.5569521555776,0.020635779707353228,0.014764309968198202,402.9148758085102
1.25,1250000.0,1232.7404641568771,1.2252662606096765,1614.0089521726516,0.02065802717416351,0.014781256897792448,402.4809604471184
1.25,1500000.0,1233.3829624268096,1.2245099267160293,1616.377860792992,0.020679600578178876,0.014797712230510995,402.0610836542668
1.25,1750000.0,1233.986481730235,1.2237931087949463,1618.6700820166382,0.020700547893701047,0.014813710110554367,401.65422967041377
1.25,2000000.0,1234.5554204467821,1.2231122456163126,1620.8911450716612,0.02072091179862452,0.014829281081746458,401.2594956633098
1.25,2250000.0,1235.0934768491709,1.2224642891900581,1623.0459061912318,0.020740729094833973,0.01484445083182572,400.8761013165606
1.25,2500000.0,1235.603808572683,1.2218461901535147,1625.138640291977,0.02076003409807083,0.014859244011219524,400.5033218501621
1.25,2750000.0,1236.089084926761,1.2212554980137835,1627.173254320923,0.020778857293131836,0.014873682737723742,400.1405130564245
1.25,3000000.0,1236.5516045006582,1.2206901450549081,1629.1532926457137,0.02079722644499607,0.014887786230992937,399.7870889173545
1.25,3250000.0,1236.9934037382802,1.2201479492870333,1631.0818892543384,0.020815167045574522,0.01490157300953405,399.4425122698078
1.25,3500000.0,1237.4161175741215,1.2196271707753303,1632.9618565925248,0.02083270083734233,0.014915058964303458,399.106322455149
1.25,3750000.0,1237.8214184741475,1.2191261746172284,1634.7958637003414,0.020849849658435043,0.014928259643337409,398.778060955288
1.25,4000000.0,1238.2106072315732,1.2186435222760685,1636.5863206606027,0.020866632879871495,0.014941189006506369,398.45732015635116
1.25,4250000.0,1238.5848855962843,1.2181779201526577,1638.3354431769692,0.020883068353557774,0.014953859938454531,398.1437247263281
1.25,4500000.0,1238.9452964976538,1.2177282017491455,1640.0452734144037,0.020899172569534746,0.014966284358201675,397.83692824854717
1.275,1000000.0,1236.946003473747,1.2269404826691652,1626.1237749536858,0.020643300910694093,0.014869116401867857,402.768077352046
1.275,1250000.0,1237.5793594214715,1.226203447864556,1628.4034628694576,0.02066396675860225,0.014885118053905057,402.36527260859793
1.275,1500000.0,1238.174684674893,1.2255021320306914,1630.6111025213984,0.020684051775715452,0.014900688717879128,401.97456031132987
1.275,1750000.0,1238.7362171979244,1.2248341186646037,1632.752064121659,0.020703594607946997,0.014915856145549968,401.5951227526705
1.275,2000000.0,1239.2675804669916,1.2241966524286272,1634.8308842344582,0.02072263010418932,0.014930645728582203,401.22622351489713
1.275,2250000.0,1239.7717739006962,1.2235876940743204,1636.8516532096753,0.02074118790079752,0.014945078496437223,400.86723372677704
1.275,2500000.0,1240.2514354248297,1.2230046500455807,1638.8178697781452,0.020759296435465677,0.014959175553560905,400.5175533692642
1.275,2750000.0,1240.7087985168746,1.222445818253711,1640.732819739955,0.02077698043131631,0.014972954348578628,400.1766592352344
1.275,3000000.0,1241.1458298019725,1.2219091973977683,1642.5993993847903,0.020794263435055034,0.014986432199685729,399.8440552591756
